2002,Employee #0,20180217 12:38:06,Punch Out, By Password
2001,Employee #0,20180217 09:38:06,Punch In, By Password
2000,Employee #9,20180217 02:47:06,Punch Out, By Password
1999,Employee #7,20180217 02:46:06,Punch Out, By Password
1998,Employee #5,20180217 02:45:06,Punch Out, By Password
1997,Employee #3,20180217 02:44:06,Punch Out, By Password
1996,Employee #1,20180217 02:43:06,Punch Out, By Password
1995,Employee #8,20180217 02:42:06,Punch Out, By Password
1994,Employee #6,20180217 02:41:06,Punch Out, By Password
1993,Employee #4,20180217 02:40:06,Punch Out, By Password
1992,Employee #2,20180217 02:39:06,Punch Out, By Password
1991,Employee #0,20180217 02:38:06,Punch Out, By Password
1990,Employee #9,20180216 21:37:06,Punch In, By Password
1989,Employee #7,20180216 21:36:06,Punch In, By Password
1988,Employee #5,20180216 21:35:06,Punch In, By Password
1987,Employee #3,20180216 21:34:06,Punch In, By Password
1986,Employee #1,20180216 21:33:06,Punch In, By Password
1985,Employee #8,20180216 21:32:06,Punch In, By Password
1984,Employee #6,20180216 21:31:06,Punch In, By Password
1983,Employee #4,20180216 21:30:06,Punch In, By Password
1982,Employee #2,20180216 21:29:06,Punch In, By Password
1981,Employee #0,20180216 21:28:06,Punch In, By Password
